,img_url
313,https://d1c5n4ri2guedi.cloudfront.net/card/1889/card_img/28084/1889card.png
314,https://d1c5n4ri2guedi.cloudfront.net/card/2645/card_img/32105/2645card.png
315,https://d1c5n4ri2guedi.cloudfront.net/card/733/card_img/22207/733card.png
316,https://d1c5n4ri2guedi.cloudfront.net/card/2515/card_img/28767/2515card.png
317,https://d1c5n4ri2guedi.cloudfront.net/card/2419/card_img/28100/2419card.png
318,https://d1c5n4ri2guedi.cloudfront.net/card/138/card_img/20366/138card.png
319,https://d1c5n4ri2guedi.cloudfront.net/card/33/card_img/20115/33card.png
320,https://d1c5n4ri2guedi.cloudfront.net/card/508/card_img/21197/508card.png
321,https://d1c5n4ri2guedi.cloudfront.net/card/563/card_img/21270/563card.png
322,https://d1c5n4ri2guedi.cloudfront.net/card/696/card_img/22170/696card.png
323,https://d1c5n4ri2guedi.cloudfront.net/card/2565/card_img/29690/2565card.png
324,https://d1c5n4ri2guedi.cloudfront.net/card/854/card_img/21688/854card.png
325,https://d1c5n4ri2guedi.cloudfront.net/card/2521/card_img/28840/2521card.png
326,https://d1c5n4ri2guedi.cloudfront.net/card/183/card_img/20400/183card.png
327,https://d1c5n4ri2guedi.cloudfront.net/card/2380/card_img/25482/2380card.png
328,https://d1c5n4ri2guedi.cloudfront.net/card/652/card_img/21415/652card.png
